id,user,uid,version,changeset,timestamp
37389992,geodreieck4711,479256,8,24899377,2014-08-21T01:05:03Z
37389994,istap,120612,1,1766052,2009-07-07T20:43:23Z
37389995,istap,120612,1,1766052,2009-07-07T20:43:24Z
37389996,istap,120612,1,1766052,2009-07-07T20:43:25Z
37389997,istap,120612,1,1766052,2009-07-07T20:43:26Z
37389998,istap,120612,1,1766052,2009-07-07T20:43:29Z
37389999,istap,120612,1,1766052,2009-07-07T20:43:30Z
37390013,istap,120612,1,1766052,2009-07-07T20:43:33Z
37390014,istap,120612,1,1766052,2009-07-07T20:43:34Z
37402458,greecemapper,23785,3,26833616,2014-11-16T23:28:00Z
37402493,DRW,312413,3,13830378,2012-11-11T10:02:44Z
37403621,Charly Q,4467193,9,50190671,2017-07-11T02:39:36Z
37403624,Charly Q,4467193,13,50190671,2017-07-11T02:39:37Z
37403630,巴山夜雨,4379011,6,47512576,2017-04-06T16:09:24Z
37403632,巴山夜雨,4379011,6,47512576,2017-04-06T16:09:24Z
37403634,巴山夜雨,4379011,4,47512576,2017-04-06T16:09:24Z
37403636,巴山夜雨,4379011,8,47121629,2017-03-24T11:03:16Z
37403638,istap,120612,1,1768746,2009-07-08T06:48:34Z
37403639,istap,120612,1,1768746,2009-07-08T06:48:35Z
37403640,istap,120612,1,1768746,2009-07-08T06:48:37Z
37403645,geodreieck4711,479256,3,24873799,2014-08-20T01:06:29Z
37404207,greecemapper,23785,11,27161299,2014-12-01T18:17:16Z
37404208,悲伤的柏林,3067715,11,50302039,2017-07-15T09:37:15Z
37404209,Charly Q,4467193,8,50190671,2017-07-11T02:39:39Z
37404212,Charly Q,4467193,3,50190671,2017-07-11T02:39:38Z
37404214,greecemapper,23785,2,27161299,2014-12-01T18:17:19Z
37404216,greecemapper,23785,2,27161299,2014-12-01T18:17:19Z
37404217,greecemapper,23785,3,27161299,2014-12-01T18:17:18Z
37404218,greecemapper,23785,2,27161299,2014-12-01T18:17:19Z
37404220,Charly Q,4467193,3,50190671,2017-07-11T02:39:39Z
37404222,greecemapper,23785,3,27161299,2014-12-01T18:17:19Z
37404223,Charly Q,4467193,4,50190671,2017-07-11T02:39:39Z
37404224,greecemapper,23785,2,27161299,2014-12-01T18:17:22Z
37404226,greecemapper,23785,2,27161299,2014-12-01T18:17:22Z
37404227,greecemapper,23785,3,27161299,2014-12-01T18:17:21Z
37404230,自由分享,3264783,5,42916518,2016-10-15T12:15:37Z
37404232,greecemapper,23785,3,27161299,2014-12-01T18:17:23Z
37404233,自由分享,3264783,3,42916518,2016-10-15T12:15:37Z
37413203,巴山夜雨,4379011,5,47512576,2017-04-06T16:09:24Z
37413204,巴山夜雨,4379011,6,47121629,2017-03-24T11:03:17Z
37449233,greecemapper,23785,3,27161299,2014-12-01T18:17:18Z
37449834,istap,120612,1,1780284,2009-07-09T12:39:02Z
37449835,greecemapper,23785,2,26833616,2014-11-16T23:27:59Z
37449839,robhedrick,154991,2,3011247,2009-11-01T21:01:21Z
37449842,istap,120612,1,1780284,2009-07-09T12:39:04Z
37449846,robhedrick,154991,2,3011247,2009-11-01T21:01:25Z
37449847,istap,120612,1,1780284,2009-07-09T12:39:08Z
37449848,自由分享,3264783,2,42448636,2016-09-26T15:36:16Z
37450745,somethingsimple,3692997,3,39700157,2016-05-31T23:59:28Z
37450746,Austin Zhu,4816761,12,53355968,2017-10-30T02:00:22Z
37450747,Charly Q,4467193,4,50190671,2017-07-11T02:39:52Z
37450748,uk1967,155277,2,9463261,2011-10-03T18:52:56Z
37450749,Charly Q,4467193,9,50190671,2017-07-11T02:39:52Z
37450750,uk1967,155277,4,9463075,2011-10-03T18:38:19Z
37450751,istap,120612,1,1780666,2009-07-09T13:34:08Z
37450752,uk1967,155277,2,9463075,2011-10-03T18:38:19Z
37450753,uk1967,155277,3,9463228,2011-10-03T18:50:37Z
37450754,istap,120612,1,1780666,2009-07-09T13:34:10Z
37450755,istap,120612,1,1780666,2009-07-09T13:34:11Z
37450756,uk1967,155277,2,9462990,2011-10-03T18:30:41Z
37450757,istap,120612,1,1780666,2009-07-09T13:34:13Z
37450759,istap,120612,1,1780666,2009-07-09T13:34:13Z
37450760,uk1967,155277,3,9462990,2011-10-03T18:30:40Z
37450763,istap,120612,1,1780666,2009-07-09T13:34:16Z
37450764,uk1967,155277,3,9463228,2011-10-03T18:50:38Z
37450765,uk1967,155277,3,9463261,2011-10-03T18:52:56Z
37450766,uk1967,155277,2,9462990,2011-10-03T18:30:40Z
37450767,uk1967,155277,2,9463261,2011-10-03T18:52:56Z
37450769,uk1967,155277,3,9463075,2011-10-03T18:38:19Z
37450770,uk1967,155277,2,9463228,2011-10-03T18:50:37Z
37452538,greecemapper,23785,6,26895447,2014-11-19T20:55:27Z
37452539,hanchao,499500,2,41705187,2016-08-26T02:28:30Z
37452540,istap,120612,1,1781105,2009-07-09T14:42:14Z
37452542,Maarten Deen,9176,2,18095383,2013-09-29T16:11:16Z
37452543,andygol,94578,8,29476641,2015-03-14T17:33:27Z
37452544,Maarten Deen,9176,2,18095383,2013-09-29T16:11:16Z
37452545,istap,120612,1,1781105,2009-07-09T14:42:16Z
37452546,istap,120612,1,1781105,2009-07-09T14:42:17Z
